station_id,longitude,latitude,station_type_id
dongsi_aq,116.417,39.929,0
tiantan_aq,116.407,39.886,0
guanyuan_aq,116.339,39.929,0
wanshouxigong_aq,116.352,39.878,0
aotizhongxin_aq,116.397,39.982,0
nongzhanguan_aq,116.461,39.937,0
wanliu_aq,116.287,39.987,0
beibuxinqu_aq,116.174,40.09,0
zhiwuyuan_aq,116.207,40.002,0
fengtaihuayuan_aq,116.279,39.863,0
yungang_aq,116.146,39.824,0
gucheng_aq,116.184,39.914,0
fangshan_aq,116.136,39.742,1
daxing_aq,116.404,39.718,1
yizhuang_aq,116.506,39.795,1
tongzhou_aq,116.663,39.886,1
shunyi_aq,116.655,40.127,1
pingchang_aq,116.23,40.217,1
mentougou_aq,116.106,39.937,1
pinggu_aq,117.1,40.143,1
huairou_aq,116.628,40.328,1
miyun_aq,116.832,40.37,1
yanqin_aq,115.972,40.453,1
dingling_aq,116.22,40.292,2
badaling_aq,115.988,40.365,2
miyunshuiku_aq,116.911,40.499,2
donggaocun_aq,117.12,40.1,2
yongledian_aq,116.783,39.712,2
yufa_aq,116.3,39.52,2
liulihe_aq,116,39.58,2
qianmen_aq,116.395,39.899,3
yongdingmennei_aq,116.394,39.876,3
xizhimenbei_aq,116.349,39.954,3
nansanhuan_aq,116.368,39.856,3
dongsihuan_aq,116.483,39.939,3
